datetime,aqi,co,no,no2,o3,pm2_5,pm10,so2,nh3
2026-06-07 22:45:13.331967,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:14.822538,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:16.327181,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:17.788314,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:19.264186,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:20.679548,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:22.111302,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:23.559699,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:24.997717,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:26.435907,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:27.909761,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:29.354181,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:30.805053,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:32.311059,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:33.746882,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:35.270250,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:36.725933,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:40.420130,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:41.889418,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:43.361002,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:44.810928,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:46.246792,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:47.685107,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:49.136991,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:50.586307,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:52.040293,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:53.481826,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:54.966421,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:56.533944,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:58.008644,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:45:59.463472,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:00.901811,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:02.588652,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:04.039171,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:05.520162,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:07.454635,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
